math,assignment,value:,10,10,10,10,10,lab,value:,12,12,12,12,12,IA,value:,30,40,50,credit,credit,[4]
,,,,,,,,,,,,,,,,,,,,,,
chemistry,assignment,value:,0,lab,value:,0,IA,value:,0,credit,credit,[0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
plc,assignment,value:,0,lab,value:,0,IA,value:,0,credit,credit,[0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
caed,assignment,value:,0,lab,value:,0,IA,value:,0,credit,credit,[0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
civil,assignment,value:,0,lab,value:,0,IA,value:,0,credit,credit,[0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
english,assignment,value:,0,lab,value:,0,IA,value:,0,credit,credit,[0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
sfh,assignment,value:,0,lab,value:,0,IA,value:,0,credit,credit,[0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
kannada,assignment,value:,0,lab,value:,0,IA,value:,0,credit,credit,[0],,,,,,,,,,
